38 Provinsi,,,,,,,,,,,,,
,Jumlah Perjalanan Wisatawan Nusantara Menurut Provinsi Tujuan (Perjalanan),,,,,,,,,,,,
,2020,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,483897,430589,351710,157764,258310,298482,333571,392055,293602,340415,322558,479226,4142179
SUMATERA UTARA,2012511,1466193,1109440,442072,576278,864667,1082687,1291700,1016798,1232110,1120288,1831624,14046368
SUMATERA BARAT,863282,779785,623248,226466,250931,562966,754303,827245,555478,672099,661261,1115758,7892822
RIAU,619363,548129,464347,215636,249411,390121,440119,497048,422867,520924,463144,674613,5505722
JAMBI,264201,250082,206088,114969,133020,183620,235975,258405,228973,240877,242326,326026,2684562
SUMATERA SELATAN,620543,584230,483516,234250,223800,339725,486690,555501,484199,557537,514748,745355,5830094
BENGKULU,155102,140647,117920,61421,67769,100775,131746,154764,127706,146378,131395,184734,1520357
LAMPUNG,876254,782363,658446,356647,395199,559053,779034,880796,686462,788792,737712,1024964,8525722
KEP. BANGKA BELITUNG,127282,107273,83654,34757,48428,53351,70022,87978,73888,81326,86222,111916,966097
KEP. RIAU,138085,112726,68659,19843,17661,29392,47791,46331,48314,60644,61440,94695,745581
DKI JAKARTA,4285490,3980736,2731511,800210,1102095,1730939,2338540,2588398,1961247,2466514,3248857,3679663,30914200
JAWA BARAT,10492510,9453029,7069903,2572442,3478828,6047886,8293439,9436215,6769447,8455505,8397804,9414524,89881532
JAWA TENGAH,13945958,12527304,11005404,8810623,7558284,8741458,10624146,11468963,10031173,11470617,11782903,14465546,132432379
DI YOGYAKARTA,2564209,2165645,1653382,731738,665050,966026,1407181,1835908,1570374,1937169,1884242,2210558,19591482
JAWA TIMUR,11480621,10963390,9901042,6570521,7672138,9184613,11452136,11299515,12304681,11175527,11164569,13932909,127101662
BANTEN,3493296,3108353,2403198,1058760,1372881,1757307,2276198,2660062,1938669,2516445,2951355,3305453,28841977
BALI,1198046,1076140,684140,273450,261406,427300,596736,773886,737473,798998,847456,1144499,8819530
NUSA TENGGARA BARAT,357562,346046,266947,114758,134465,219509,292720,345466,303882,321857,297806,371680,3372698
NUSA TENGGARA TIMUR,196280,177430,161512,102092,78698,123912,180686,208219,204091,269250,232124,359388,2293682
KALIMANTAN BARAT,238250,192950,133713,58284,70612,114469,156207,188940,139666,157775,142495,261247,1854608
KALIMANTAN TENGAH,199469,184057,162270,78802,75118,105229,153741,178547,177946,191431,178377,218817,1903804
KALIMANTAN SELATAN,453132,525682,388598,142599,140584,217081,299967,378968,340628,401871,373595,470887,4133592
KALIMANTAN TIMUR,314243,286192,217704,91121,95763,153412,179746,193051,179654,209778,208725,275463,2404852
KALIMANTAN UTARA,27906,28952,22807,9670,8536,12698,17870,19917,20879,22363,22030,68039,281667
SULAWESI UTARA,156614,154197,158677,66627,58036,112243,193492,259030,282281,335445,326566,377599,2480807
SULAWESI TENGAH,185796,176960,145200,65380,65852,86803,119534,157123,132882,109312,137047,189733,1571622
SULAWESI SELATAN,1027653,932636,759362,287133,308242,547513,663996,909748,850322,959171,906014,1063264,9215054
SULAWESI TENGGARA,206468,193500,143516,71545,71224,106867,146936,181890,206855,193265,191705,269241,1983012
GORONTALO,48443,44850,54723,33603,27476,49003,68769,83192,94892,108500,101882,132725,848058
SULAWESI BARAT,105991,97671,69873,26873,22014,49222,61561,80440,75891,75517,75153,110693,850899
MALUKU,38562,36768,29688,10479,7978,11914,15625,21065,23965,29428,30269,147307,403048
MALUKU UTARA,46810,47758,38527,22439,12649,23881,36540,43536,47792,50275,48505,83999,502711
PAPUA BARAT,46741,44158,34282,9348,11657,17414,22301,23616,23906,26119,32062,50886,342490
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA,75045,73078,57571,24783,26829,35260,45320,46725,50583,55847,58583,136898,686522
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,57345615,52019499,42460578,23897105,25547222,34224111,44005325,48374243,42407466,46979081,47981218,59329929,524571392
