38 Provinsi,,,,,,,,,,,,,
,Tingkat Penghunian Kamar pada Hotel Bintang,,,,,,,,,,,,
,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,20.13,17.65,33.42,26.45,26.08,28.09,26.88,25.41,28.35,38.26,42.99,38.63,-
SUMATERA UTARA,37.63,36.58,37.67,36.96,33.91,39.1,29.87,27.43,37.07,41.84,42.37,49.28,-
SUMATERA BARAT,37.27,36.04,42.02,35.23,32.21,49.72,28.13,34.2,45.88,52.25,55.57,56.01,-
RIAU,36.69,38.16,38.69,34.53,31.54,33.4,34.42,30.49,39.63,50.95,53.56,52.37,-
JAMBI,26.5,38.42,41.57,38.96,33.67,45.13,28.78,32.2,41.79,44.57,41.78,48.42,-
SUMATERA SELATAN,45.85,46.11,48.24,44.41,43.55,53.42,41.7,42.27,45.21,59.25,57.63,57.9,-
BENGKULU,31.96,37.65,36.73,33.37,33.25,45.54,24.61,32,56.58,42.3,43.53,46.36,-
LAMPUNG,37.63,40.52,43.98,40.78,34.29,49.65,24.65,32.76,46.71,53.33,58.26,61.14,-
KEP. BANGKA BELITUNG,18.7,15.06,20.98,17.44,15.24,23.92,15.75,15.83,23.45,31.89,41.53,37.59,-
KEP. RIAU,24.41,27.99,27.01,20.69,20.92,23.03,19.1,20.04,23.97,30.71,31.54,37.04,-
DKI JAKARTA,41.12,41.53,45.11,46.59,45.23,51.9,31.72,30.8,42.62,50.61,53.33,58.79,-
JAWA BARAT,29.16,37.15,40.37,38.4,35.72,38.19,19.48,27.49,44.59,54.03,54.14,56.92,-
JAWA TENGAH,24.73,26.64,33.27,32.18,28.11,31.95,15.22,20.11,34.68,41.48,43.64,50.38,-
DI YOGYAKARTA,24.91,26.87,40.42,36.78,32.27,45.73,13.32,20.91,41.13,61.65,64.66,68.77,-
JAWA TIMUR,38.63,36.39,40.2,38.88,35,44.16,26.25,29.39,41.19,49.26,52.82,55.74,-
BANTEN,37.06,39.19,41.3,41.83,34.1,38.64,24.59,34.31,40.47,49.08,55.2,56.06,-
BALI,11.15,8.99,10.24,10.09,10.35,16.68,5.23,4.77,9.46,17.73,20.67,30.67,-
NUSA TENGGARA BARAT,20.17,31.2,36.45,27.04,28.52,39.92,26.25,25.38,38.49,41.69,47.16,39.84,-
NUSA TENGGARA TIMUR,22.51,18.4,27.4,38.67,30,41.39,20.35,22.92,36.68,48.03,52.55,47.28,-
KALIMANTAN BARAT,25.84,34.93,40.97,41.16,38.29,39.86,29.58,33.46,45.82,52.26,50.88,54.11,-
KALIMANTAN TENGAH,32.54,42.05,46.71,39.86,36.23,47.18,27.8,34.63,46.24,56.83,57.91,51.89,-
KALIMANTAN SELATAN,43.3,38.01,38.38,34.2,31.78,41.45,34.28,32.88,41.88,50.67,53.44,57.63,-
KALIMANTAN TIMUR,42.98,43.82,49.38,47.43,46.77,57.67,39.04,41.98,52.74,62.4,63.45,62.62,-
KALIMANTAN UTARA,34.2,46.57,39.85,40.64,34.34,51.67,33.07,41.03,58.09,50.92,63.57,55.07,-
SULAWESI UTARA,38.84,38.81,48.86,43.01,38.94,49.13,33.45,27.36,33.11,47.74,58.08,49.16,-
SULAWESI TENGAH,30.37,31.5,40.88,46.45,22.59,54.88,27.47,31.78,42.01,53.71,55.51,52.74,-
SULAWESI SELATAN,26.43,30.19,36.16,35.55,30.29,41.99,28.68,28.85,41.62,49.13,47.99,51.96,-
SULAWESI TENGGARA,29.35,36.14,39.76,39.93,31.67,47.58,25.38,32.5,43.09,39.81,44.84,44.66,-
GORONTALO,29.58,44.66,49.67,47.44,32.13,47.68,30.03,34.16,44.05,53.95,59.11,52.58,-
SULAWESI BARAT,17.23,19.94,31.38,24.11,13.47,26.76,17.88,17.44,29.68,34.01,43.88,35.64,-
MALUKU,31.56,41.1,41.4,43.35,37.33,43.04,30.37,37.11,42.72,42.77,41.83,39.39,-
MALUKU UTARA,31,34.73,38.28,44.98,39.4,43.27,28.92,50.18,55.44,49.62,51.66,48.79,-
PAPUA BARAT,39.4,44.58,47.11,45.64,34.61,49.6,28.81,35.76,51.47,56.9,67.16,53.76,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA,35,32.64,43.28,33.69,38.9,44.93,40.16,41.22,54.96,49.29,56.93,50.86,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,30.35,32.4,36.07,34.63,31.97,38.55,22.38,25.07,36.64,45.62,47.83,51.57,-
