,1/31/2019,2/31/2019,3/31/2019,4/31/2019,5/31/2019,6/31/2019,7/31/2019,8/31/2019,9/31/2019,10/31/2019,11/31/2019,12/31/2019,1/31/2020,2/31/2020,3/31/2020,4/31/2020,5/31/2020,6/31/2020,7/31/2020,8/31/2020,9/31/2020,10/31/2020,11/31/2020,12/31/2020,1/31/2021,2/31/2021,3/31/2021,4/31/2021,5/31/2021,6/31/2021,7/31/2021,8/31/2021,9/31/2021,10/31/2021,11/31/2021,12/31/2021,1/31/2022,2/31/2022,3/31/2022,4/31/2022,5/31/2022,6/31/2022,7/31/2022,8/31/2022,9/31/2022,10/31/2022,11/31/2022,12/31/2022,1/31/2023,2/31/2023,3/31/2023,4/31/2023,5/31/2023,6/31/2023,7/31/2023,8/31/2023,9/31/2023,10/31/2023,11/31/2023,12/31/2023,1/31/2024,2/31/2024,3/31/2024,4/31/2024,5/31/2024,6/31/2024,7/31/2024,8/31/2024,9/31/2024,10/31/2024,11/31/2024,12/31/2024,1/31/2025,2/31/2025,3/31/2025,4/31/2025,5/31/2025,6/31/2025,7/31/2025
ACEH,31.36,41.46,40.95,40.13,30.01,42.43,53.18,46.4,50.13,47.71,50.35,41.7,35.36,39.33,33.57,13.86,8.75,13.73,18.23,14.44,25.14,30.11,37.71,31.76,20.13,17.65,33.42,26.45,26.08,28.09,26.88,25.41,28.35,38.26,42.99,38.63,19.09,29.7,37.72,22.77,33.71,37.33,32.45,29.64,35.22,37.11,35.36,36.82,25.78,31.58,33.52,20.82,30.18,29.96,32.84,31.18,27.81,33.67,39.32,35.97,24.23,44.04,31.03,40.29,45.71,38.06,44.8,53.44,60.94,48.08,40,37.42,23.39,24.32,13.3,22.6,24.13,24.46,29.41
SUMATERA UTARA,42.85,45.31,54.44,49.83,40.45,49.53,48.42,47.88,44.29,47.05,52.1,51.09,48.06,45.24,29.2,11.93,13.82,20.12,26.92,29.38,33.15,36.09,34.41,41.02,37.63,36.58,37.67,36.96,33.91,39.1,29.87,27.43,37.07,41.84,42.37,49.28,42.62,38.65,42.05,33.83,49.09,44.18,48.74,43.24,44.59,44.22,50.14,51.77,42.59,47.5,45.41,41.29,47.68,50.17,50.01,46.86,46.39,47.64,53.19,53.76,44.8,48.06,43.49,48.06,49.36,48.7,49.05,48.66,57.76,46.23,44.83,49.33,43.12,39.64,31.98,40.1,38.93,41.53,43.5
SUMATERA BARAT,46.08,53.11,57.34,56.22,34.57,54.72,59.41,54.69,53.95,59.45,62.27,60.18,44.21,46.55,32.34,9.09,11.27,21.14,32.18,39.36,31.57,39.45,47.49,53.44,37.27,36.04,42.02,35.23,32.21,49.72,28.13,34.2,45.88,52.25,55.57,56.01,45.19,45.84,46.37,25.13,57.85,51.94,51.02,45.45,47.44,49.2,55.82,58.62,39.52,45.63,44.05,36.49,51.04,57.96,56.27,47.86,47.45,49.09,52.9,56.38,33.56,42.95,33.84,41.38,48.42,42.81,47.12,44.07,48.34,47.96,49.5,51.96,47.23,40.22,21.5,48.34,43.21,45.33,47.64
RIAU,43.73,42.63,49.67,49.6,40.57,45.57,45.28,46.22,47.06,47.45,49.84,51.93,42.49,44.09,26.71,14.73,21.34,26.85,29.04,32.71,31.14,36.16,42.92,36.39,36.69,38.16,38.69,34.53,31.54,33.4,34.42,30.49,39.63,50.95,53.56,52.37,40.84,42.13,46.52,34.64,44.59,45.58,39.32,38.97,40.87,41.92,40.65,43.36,37.07,36.48,35.39,32.8,38.58,39.98,37.81,37.58,39.75,38.07,41.01,47.88,37.38,41.86,38.12,40.82,48.56,48.02,48.74,46.63,47.02,46.67,47.39,48.91,40.61,41.8,31.24,43.31,44.59,44.46,46.58
JAMBI,41.78,40.76,42.66,42.42,38.58,36.51,45.12,46.35,45.2,48.91,49.79,49.51,41.66,42.69,35.19,15.68,15.73,25.32,32.54,37.81,41.55,38.88,40.93,40.74,26.5,38.42,41.57,38.96,33.67,45.13,28.78,32.2,41.79,44.57,41.78,48.42,37.88,36.38,43.63,38.09,48.28,50.95,52.23,47.97,54.07,56.62,58.31,58.24,43.91,53.18,45.66,42.99,56.33,52.38,61.49,56.18,56.21,60.63,60.9,60.2,39.33,46.2,46.36,48.31,54.69,54.05,55.66,54.69,53.33,58.6,53.81,54.91,45.93,47.53,33.6,47.43,48.28,51.17,54.73
SUMATERA SELATAN,59.45,50.83,50.62,51.7,43.06,54.51,53.86,54.31,41.97,57.06,59.79,58.98,48.11,53.22,39.86,19.43,18.94,32.09,39.54,42.1,42.81,47.55,48.92,53.83,45.85,46.11,48.24,44.41,43.55,53.42,41.7,42.27,45.21,59.25,57.63,57.9,49.94,48.69,54.77,42.31,57.18,55.7,55.15,50.86,52.99,55.98,60.32,58.62,44.29,49.62,51.11,46.01,57.29,55.08,54.87,58.86,54.86,57.15,58.41,61.38,47.42,51.61,44.15,52.21,51.97,51.13,52.3,52.68,52.36,57.12,53.67,55.67,43.65,45.18,31.46,47.73,48.14,46.42,48.54
BENGKULU,46.2,68.27,64.61,57.53,50.52,58.98,66.96,62.69,65.76,68.97,69.32,67.97,43.11,61.85,38.71,13.98,15.97,21.92,39.33,41.4,38.92,49.88,45.45,45,31.96,37.65,36.73,33.37,33.25,45.54,24.61,32,56.58,42.3,43.53,46.36,35.43,32.82,39.01,24.32,41.59,39.67,41.92,36.97,43.55,49.99,45.11,51.43,33.93,40.03,37,32.21,45.28,47.35,53.65,42.62,50.01,49.84,51.56,54.85,34.49,39.88,35.44,40.34,46.77,47.77,49.59,47.5,49.73,52.67,55.24,57.95,40.41,35.63,23.75,44.12,45.5,45.44,50.24
LAMPUNG,42.89,54.44,57.24,62.37,49.67,56.11,59.42,60.96,64.24,62.99,67.43,69.51,57.88,57.38,35.79,13.94,14.36,34.73,40.31,48.71,49.15,54.28,59.14,59.32,37.63,40.52,43.98,40.78,34.29,49.65,24.65,32.76,46.71,53.33,58.26,61.14,51.19,48.48,56.59,42.2,66.04,58.87,57.92,52.25,55.22,61.78,56.98,58.74,46.11,50.89,48.99,46,54.03,56.36,57.78,53.27,56.85,52.22,54.96,64.71,44.61,43.87,36.74,39.2,45.34,50.19,46.82,48.63,49.27,50.52,51.41,58.72,40.97,37.7,27.1,43.42,42.94,48.45,47.29
KEP. BANGKA BELITUNG,27.27,30.17,35.28,39.75,22.98,34,34.76,34.13,32.76,42.89,45.06,39.08,27.35,30.88,18.87,16.63,15.89,20.93,17.03,23.23,20.26,24.63,28.42,28.79,18.7,15.06,20.98,17.44,15.24,23.92,15.75,15.83,23.45,31.89,41.53,37.59,26.11,25.9,34.12,23.8,39.32,37.97,38.77,32.65,36.3,35.66,35.24,36.99,26.55,29.08,31.12,24.85,31,33.92,38.2,34,33.31,33.67,39.14,36.62,23.05,25.63,22.88,23.85,29.11,28.16,33.17,31.8,30.56,34.79,31.53,35.93,22.91,22.33,16.04,25.1,23.56,25.51,27.68
KEP. RIAU,53.12,50.86,49.6,50.03,42.13,51.18,49.67,47.82,50.18,51.42,56.56,56.67,46.49,35.58,25.27,11.37,9.91,14.45,20.16,19.31,16.91,21.59,24.64,27.41,24.41,27.99,27.01,20.69,20.92,23.03,19.1,20.04,23.97,30.71,31.54,37.04,26.39,30,35.72,27.21,37.11,45.21,41.35,40.92,42.61,48.6,45.67,62.53,47.58,43.69,44.46,36.78,41.87,52.54,40.03,50.4,45.45,43.83,60.91,61.47,53.78,62.51,54.85,51.63,56.21,64.78,52.36,56.35,54.06,55.66,57.98,59.92,47.12,42.01,40.89,46.35,46.09,50.01,49.5
DKI JAKARTA,69.84,63.37,59.56,58.92,54.32,50.51,64.15,58.11,58.97,62.67,64.17,61.59,51.37,54.28,36.93,19.84,24.32,26.47,41.03,36.18,38.96,44.33,45.63,45.4,41.12,41.53,45.11,46.59,45.23,51.9,31.72,30.8,42.62,50.61,53.33,58.79,52.26,46.05,52.7,45.83,51.79,54.32,54.49,54.76,54.03,56.54,60.81,59.63,48.4,52.62,53.37,42.52,50.75,55.6,55.5,55.86,57.33,56.42,61.37,61.51,51.73,51.08,44.08,43.47,52.79,51.54,54.23,53.28,53.47,59.78,60.53,62.05,53.5,59.07,38.26,46.86,51.31,52.35,55.91
JAWA BARAT,45.33,51.57,52.69,53.17,38.79,53.13,54.69,49.58,50.6,56.07,58.95,62.4,47.06,50.15,34.55,10.77,12.92,20.76,30.51,40.82,37.43,43.57,48.89,45.22,29.16,37.15,40.37,38.4,35.72,38.19,19.48,27.49,44.59,54.03,54.14,56.92,46.99,39.04,50.44,35.35,54.13,52.82,53.48,50.73,53.97,57.67,56.64,60.18,46.5,49.39,46.25,42.81,47.62,53.48,54.97,50.8,50.73,52.23,58.02,61.94,45.94,49.09,40.56,46.32,52.31,54.42,55.94,51.09,51.97,53.85,52.99,58.56,47.59,45.51,28.77,46.37,47.08,47.08,49.52
JAWA TENGAH,42.49,44.17,45.32,45.86,35.23,49.14,47.02,45.15,44.99,48.4,52.18,53.29,41.51,46.36,28.63,10.65,10.83,17.64,24.76,28.92,28.13,35.05,37.89,35.69,24.73,26.64,33.27,32.18,28.11,31.95,15.22,20.11,34.68,41.48,43.64,50.38,39.38,37.59,41.9,32.13,49.49,46.74,48.55,43.01,46.39,47.73,51.33,54.74,41,45.18,44.61,41.66,48.12,50.22,50.76,48.22,50.12,45.78,50.98,56.77,40.63,44.17,36.73,45.88,49.06,49.44,50.04,46,47.66,48.78,47.12,52.7,43.8,41.55,29.4,46.28,44.4,45.83,46.99
DI YOGYAKARTA,50.19,54.19,56.77,62.75,34.69,64.31,67.86,59,51.6,59.92,63.93,72.43,52.93,56.32,33.9,5.36,6.13,15.5,27.83,39.86,36.22,45.52,44.99,45.31,24.91,26.87,40.42,36.78,32.27,45.73,13.32,20.91,41.13,61.65,64.66,68.77,59.9,45,51.65,27.62,67.65,66.45,62.17,53.12,52.33,61.23,64.95,72.87,58.21,58.97,49.6,41.14,60.54,65.64,62.71,57.48,58.99,57.74,66.77,73.73,53.56,52.04,37.8,48.64,61.89,60.57,63.25,51.94,51.35,55.9,60.98,70.24,56.84,52.34,23.15,49.98,53.94,53.86,58.48
JAWA TIMUR,51.52,52.65,53.47,53.01,40.96,57.73,60.08,54.49,54.18,59.93,64.25,62.77,48.69,52.65,36.81,15.82,16.06,22.87,28.57,34.17,32.56,42.09,45.47,47.77,38.63,36.39,40.2,38.88,35,44.16,26.25,29.39,41.19,49.26,52.82,55.74,44.71,46.56,51.68,38.7,57.46,54.25,56.62,50.11,54.67,56.35,57.72,61.86,46.07,49.63,49.71,43.14,54.86,57.18,58.25,51.52,53.91,56.64,57.59,62.77,45.02,50.53,43.53,48.57,53.52,55.02,59.55,56.54,56.42,58.07,57.24,58.44,47.83,47.8,33.1,49.81,49.26,51.81,52.65
BANTEN,49.92,53.31,42.42,44.25,41.24,45,52.58,49.09,49.63,50.03,50.42,51.96,49.05,51.14,31.12,15.72,18.57,24.17,32.3,36.05,37.97,38.28,42.61,38.51,37.06,39.19,41.3,41.83,34.1,38.64,24.59,34.31,40.47,49.08,55.2,56.06,41.64,41.84,51.22,41.91,52.17,57,52.51,54.3,54.06,52.24,55.4,51.21,48.68,54.46,48.2,44.02,52.64,50.16,57.12,53.74,59.06,57.57,56.85,57.45,48.17,49.26,45.99,49.89,56.03,58.23,56.42,56.09,53.12,53.57,54.42,54.63,49.92,51.17,37.14,45.9,48.08,46.62,53.13
BALI,53.27,56.48,55.43,60.33,51.56,60.37,61.71,67.1,63.22,63.3,59.46,62.55,59.29,45.98,25.41,3.22,2.07,2.07,2.57,3.68,5.28,9.53,9.32,19,11.15,8.99,10.24,10.09,10.35,16.68,5.23,4.77,9.46,17.73,20.67,30.67,20.71,14.86,21.9,18.98,37.35,38.77,37.52,38.37,46.45,46.28,48.91,53.75,46.16,41.22,40.01,44.31,47.3,59.59,63.6,60.64,59.25,57.43,54.89,62.19,56.27,55.27,52.71,57.69,66.1,65.78,68.78,70.16,66.34,64.37,59.61,63.71,60.28,51.62,46.61,57.23,58.1,64.66,67.75
NUSA TENGGARA BARAT,32.84,32.63,34.11,39.43,33.34,37.34,43.85,52.12,47.85,50.55,45.31,47.79,38.93,36.7,19.07,6.23,14.42,18.59,22.28,27.05,31.93,34.49,37.3,43.9,20.17,31.2,36.45,27.04,28.52,39.92,26.25,25.38,38.49,41.69,47.16,39.84,31.35,29.31,38.43,15.27,32.35,38.73,37.52,35.07,35.23,34.7,42.42,40.67,26.88,37.83,34.49,26.7,31.91,37.81,44.17,44.47,41.59,45.91,40.32,43.27,32.49,35.4,28.45,31.75,39.25,41.59,48.65,55.26,51.58,43.89,36.24,38.42,36.38,32.75,26.36,38.11,38.76,41.1,49.92
