Date,TPK Jabodetabek
1/31/2019,55.03
2/31/2019,56.08
3/31/2019,51.56
4/31/2019,52.11
5/31/2019,44.78
6/31/2019,49.55
7/31/2019,57.14
8/31/2019,52.26
9/31/2019,53.07
10/31/2019,56.26
11/31/2019,57.85
12/31/2019,58.65
1/31/2020,49.16
2/31/2020,51.86
3/31/2020,34.20
4/31/2020,15.44
5/31/2020,18.60
6/31/2020,23.80
7/31/2020,34.61
8/31/2020,37.68
9/31/2020,38.12
10/31/2020,42.06
11/31/2020,45.71
12/31/2020,43.04
1/31/2021,35.78
2/31/2021,39.29
3/31/2021,42.26
4/31/2021,42.27
5/31/2021,38.35
6/31/2021,42.91
7/31/2021,25.26
8/31/2021,30.87
9/31/2021,42.56
10/31/2021,51.24
11/31/2021,54.22
12/31/2021,57.26
1/31/2022,46.96
2/31/2022,42.31
3/31/2022,51.45
4/31/2022,41.03
5/31/2022,52.70
6/31/2022,54.71
7/31/2022,53.49
8/31/2022,53.26
9/31/2022,54.02
10/31/2022,55.48
11/31/2022,57.62
12/31/2022,57.01
1/31/2023,47.86
2/31/2023,52.16
3/31/2023,49.27
4/31/2023,43.12
5/31/2023,50.34
6/31/2023,53.08
7/31/2023,55.86
8/31/2023,53.47
9/31/2023,55.71
10/31/2023,55.41
11/31/2023,58.75
12/31/2023,60.30
1/31/2024,48.61
2/31/2024,49.81
3/31/2024,43.54
4/31/2024,46.56
5/31/2024,53.71
6/31/2024,54.73
7/31/2024,55.53
8/31/2024,53.49
9/31/2024,52.85
10/31/2024,55.73
11/31/2024,55.98
12/31/2024,58.41
1/31/2025,50.34
2/31/2025,51.92
3/31/2025,34.72
4/31/2025,46.38
5/31/2025,48.82
6/31/2025,48.68
7/31/2025,52.85
