38 Provinsi,,,
,"Jumlah Akomodasi, Kamar, dan Tempat Tidur yang Tersedia pada Hotel Bintang",,
,Akomodasi,Kamar,Tempat Tidur
,2020,2020,2020
ACEH,24,1770,2940
SUMATERA UTARA,143,12499,19507
SUMATERA BARAT,85,4719,7685
RIAU,95,18456,22156
JAMBI,36,2105,2939
SUMATERA SELATAN,78,7253,10445
BENGKULU,15,909,1341
LAMPUNG,27,2772,4331
KEP. BANGKA BELITUNG,55,3601,5792
KEP. RIAU,127,13699,18802
DKI JAKARTA,392,55523,69905
JAWA BARAT,510,50918,78121
JAWA TENGAH,324,27523,47638
DI YOGYAKARTA,172,16964,27247
JAWA TIMUR,288,30138,44327
BANTEN,129,12379,18082
BALI,508,54077,73718
NUSA TENGGARA BARAT,71,5396,8063
NUSA TENGGARA TIMUR,35,2586,4267
KALIMANTAN BARAT,45,4790,6992
KALIMANTAN TENGAH,19,1520,2352
KALIMANTAN SELATAN,61,4783,7557
KALIMANTAN TIMUR,71,7593,10395
KALIMANTAN UTARA,7,323,425
SULAWESI UTARA,41,3659,4978
SULAWESI TENGAH,11,985,1487
SULAWESI SELATAN,151,12070,18137
SULAWESI TENGGARA,23,1680,2610
GORONTALO,8,617,851
SULAWESI BARAT,7,429,700
MALUKU,20,1196,1583
MALUKU UTARA,9,575,955
PAPUA BARAT,19,1331,2153
PAPUA BARAT DAYA,-,-,-
PAPUA,38,2858,4127
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,3644,367696,532608
