date,villa anyer,wisata anyer,tiket bus ke anyer,hotel anyer,pantai carita,taman nasional ujung kulon,curug putri banten,restoran di sekitar pantai carita,spot foto di pantai anyer,wisata desa baduy,rute ke anyer,destinasi wisata banten,rute ke kota tangerang,wisata serang,restoran terbaik di serang,tempat wisata cilegon,tour banten,liburan ke banten,sunset anyer,bus ke pantai carita
1/1/2019,0,0,0,32,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
1/2/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2019,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,51.02,0,0,0,0
1/7/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2019,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/13/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/14/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/15/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
1/16/2019,0,0,0,0,0,0,0,0,0,43.29,0,0,0,0,0,0,0,0,0,0
1/17/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/18/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/19/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/21/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/22/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/24/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/27/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/28/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/29/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/30/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
2/1/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/7/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9/2019,0,0,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/10/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/11/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/13/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/14/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/15/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/16/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/17/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/18/2019,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/19/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/20/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/21/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/22/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/23/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/24/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/25/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/26/2019,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/27/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/28/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8/2019,0,0,0,41,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
3/9/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/10/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.61,0
3/13/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/16/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/19/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/20/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/21/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/22/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/23/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/24/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2019,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/26/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/27/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/28/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/29/2019,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/30/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/5/2019,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/6/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/7/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/9/2019,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/10/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/11/2019,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/13/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/14/2019,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
4/15/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/16/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/17/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/18/2019,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/19/2019,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/20/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
4/21/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/22/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/23/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/24/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/25/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/26/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/27/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/28/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/29/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/30/2019,0,0,0,0,0,31.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.63,0,0,0
5/2/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/3/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/2019,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/5/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/6/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/7/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/8/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/9/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/10/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/13/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/14/2019,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
5/15/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/16/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/17/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/18/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/19/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/20/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/21/2019,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/22/2019,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
5/23/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/24/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/25/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/26/2019,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/27/2019,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/28/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/29/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/30/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/2019,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1/2019,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/3/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/4/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/5/2019,0,0,0,100,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/6/2019,51,0,0,83,61,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0
6/7/2019,0,0,0,58,72,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
6/8/2019,52,0,0,71,97,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0
6/9/2019,0,0,0,65,34,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0
6/10/2019,0,0,0,39,29,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
6/11/2019,0,0,0,50,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
6/12/2019,33,0,0,49,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
6/13/2019,0,0,0,42,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
6/14/2019,0,0,0,37,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
6/15/2019,0,0,0,37,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/16/2019,0,0,0,38,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
6/17/2019,0,0,0,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/18/2019,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/19/2019,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/20/2019,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/21/2019,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/22/2019,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/23/2019,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2019,26,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/25/2019,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/26/2019,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/27/2019,0,0,0,25,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/28/2019,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2019,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2019,0,0,0,46,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2019,23,26,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/2/2019,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/3/2019,23,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/4/2019,0,0,0,57,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
7/5/2019,0,0,0,45,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/6/2019,0,0,0,51,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/7/2019,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/8/2019,0,0,0,39,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/9/2019,22,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/10/2019,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/11/2019,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/12/2019,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/13/2019,0,0,0,47,0,0,25.25,0,0,0,0,0,0,0,0,0,0,0,0,0
7/14/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/16/2019,0,0,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/17/2019,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/18/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/19/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
7/20/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/21/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/22/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/23/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/24/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/25/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/26/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/27/2019,0,0,0,34,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
