date,taman safari,cisarua,buka tutup puncak,wisata lembang,restoran bandung,tangkuban perahu,kawah putih ciwidey,kebun raya bogor,wisata garut,pantai pangandaran,green canyon pangandaran,situgunung,gunung gede pangrango,curug cilember,taman bunga nusantara,farm house lembang,floating market,factory outlet bandung,tebing keraton bandung,pantai batu kakas,jalan-jalan bandung,glamping bandung,camping bogor,rafting bandung
1/1/2019,66,27,14,48,11,24,0,24,0,9,0,0,0,16,40,12,76.92,0,16.25,0,0,17.25,0,0
1/2/2019,49,19,3,27,7,24,0,0,0,8,0,0,10,10,34,13,59.58,0,0,0,0,0,0,0
1/3/2019,37,19,0,23,5,24,0,0,0,9,0,0,11,13,23,12,36.83,0,0,0,0,15.6,0,0
1/4/2019,40,25,5,19,4,0,0,0,0,5,0,0,12,10,14,11,50.92,0,0,0,0,0,0,0
1/5/2019,37,26,15,23,6,0,0,0,0,4,0,0,0,11,22,0,53.08,0,0,0,0,0,0,0
1/6/2019,33,19,7,18,7,0,0,0,0,0,0,0,0,11,18,20,46.58,0,0,0,0,0,0,0
1/7/2019,32,15,0,13,3,0,0,0,0,3,0,0,0,0,17,0,35.75,0,0,0,0,0,0,0
1/8/2019,26,16,0,12,3,24,0,0,0,3,0,0,0,0,17,0,27.08,0,0,0,0,0,0,0
1/9/2019,25,11,0,12,4,0,0,0,0,0,0,0,0,0,10,0,20.58,0,0,0,0,0,0,0
1/10/2019,25,15,0,12,5,24,0,0,0,0,0,0,0,11,12,0,26,0,0,0,0,0,0,0
1/11/2019,29,16,5,13,7,0,0,0,0,4,0,0,0,0,14,0,29.25,0,0,0,0,11.11,0,0
1/12/2019,39,17,12,13,6,0,0,0,0,3,0,0,0,11,16,0,36.83,0,0,0,0,0,0,0
1/13/2019,28,19,7,13,5,0,0,0,0,4,0,0,0,0,20,0,41.17,0,0,0,0,9.93,0,0
1/14/2019,24,15,0,10,3,0,0,0,0,3,0,0,0,0,13,0,15.17,0,0,0,0,0,0,0
1/15/2019,25,15,0,13,3,0,0,0,0,3,0,0,0,11,19,0,22.75,0,0,0,0,0,0,0
1/16/2019,23,16,0,13,7,0,0,0,0,0,0,0,0,0,13,0,24.92,0,21.67,0,0,0,10.87,0
1/17/2019,24,17,0,11,4,0,0,0,0,0,0,0,0,0,0,0,17.33,0,15.17,0,0,0,0,0
1/18/2019,24,20,0,13,6,0,0,0,0,3,0,0,0,0,14,0,31.42,0,0,0,0,0,0,0
1/19/2019,27,17,9,14,4,0,0,0,0,0,0,0,0,0,21,0,32.5,0,0,0,0,0,0,0
1/20/2019,33,18,5,16,5,0,0,0,0,0,0,0,0,0,15,10,30.33,0,0,0,0,0,0,0
1/21/2019,28,18,0,9,4,0,0,0,0,4,0,0,0,10,18,0,22.75,0,0,0,0,0,0,0
1/22/2019,22,16,0,10,3,24,0,0,0,0,0,0,0,0,13,0,20.58,0,0,0,0,0,0,0
1/23/2019,23,12,0,9,3,0,0,0,0,0,0,0,0,0,12,0,24.92,0,0,0,0,0,0,0
1/24/2019,24,15,0,6,3,0,0,0,0,0,0,0,0,0,12,0,15.17,0,0,0,0,0,0,0
1/25/2019,25,17,0,9,7,0,0,0,0,3,0,0,0,0,13,0,26,0,0,0,0,0,0,0
1/26/2019,25,15,8,13,7,0,0,0,0,4,0,0,0,0,21,0,37.92,0,0,0,0,11.35,0,0
1/27/2019,30,12,10,12,7,0,0,0,0,0,0,0,0,16,25,14,24.92,0,0,0,0,0,0,0
1/28/2019,25,17,0,11,4,0,0,0,0,0,0,0,0,0,14,0,24.92,0,0,0,0,0,0,0
1/29/2019,23,15,0,6,0,0,0,0,0,4,0,0,0,0,12,0,22.75,0,0,0,0,0,0,0
1/30/2019,24,13,0,11,5,0,0,0,0,0,0,0,10,0,11,0,26,0,0,0,0,0,0,0
1/31/2019,21,13,0,7,5,0,0,0,0,0,0,0,0,0,11,0,28.17,0,0,0,0,11.58,0,0
2/1/2019,28,16,4,12,6,24,0,0,0,0,0,0,0,0,18,0,21.67,0,0,0,0,0,0,0
2/2/2019,31,15,8,17,11,0,0,0,0,0,0,0,0,11,24,0,26,11.92,0,0,0,0,0,0
2/3/2019,27,16,8,21,7,0,0,0,0,4,0,0,0,0,21,13,47.67,0,0,0,0,0,0,0
2/4/2019,31,17,0,17,6,0,0,0,0,0,0,0,0,12,27,10,33.58,0,0,0,0,0,0,0
2/5/2019,26,15,8,16,4,0,0,0,0,3,0,0,0,0,24,0,40.08,0,14.08,0,0,0,0,0
2/6/2019,25,14,0,11,4,0,0,0,0,0,0,0,0,0,19,0,23.83,0,13,0,0,0,0,0
2/7/2019,20,11,0,13,6,0,0,0,0,3,0,0,0,0,25,0,24.92,0,0,0,0,0,0,0
2/8/2019,27,18,4,11,5,0,0,0,0,4,0,0,13,10,24,0,29.25,0,0,0,0,0,0,0
2/9/2019,25,17,11,14,6,0,0,0,0,3,0,0,0,14,17,13,45.5,0,0,0,0,0,9.93,0
2/10/2019,27,15,10,11,6,0,0,0,0,3,0,0,0,0,18,0,36.83,0,0,0,0,20.8,0,0
2/11/2019,18,15,3,9,3,0,0,0,0,0,0,0,10,0,10,0,26,0,0,0,0,0,0,0
2/12/2019,20,15,0,9,4,0,0,0,0,0,0,0,0,0,13,0,28.17,0,0,0,0,0,0,0
2/13/2019,14,15,0,9,5,0,0,0,0,0,0,0,0,0,19,0,37.92,0,0,0,0,0,0,0
2/14/2019,21,13,0,10,4,0,0,0,0,3,0,0,0,0,19,0,40.08,0,0,0,0,0,0,0
2/15/2019,22,14,0,10,3,0,0,0,0,0,0,0,0,0,16,0,37.92,0,0,0,0,0,0,0
2/16/2019,23,19,9,13,7,0,0,0,0,3,3,0,0,0,23,0,32.5,0,0,0,0,0,0,0
2/17/2019,26,14,7,13,7,0,0,0,0,5,0,0,0,11,20,0,31.42,0,0,0,0,0,0,0
2/18/2019,21,15,0,8,5,0,0,0,0,0,0,0,0,0,22,0,27.08,0,0,0,0,0,0,0
2/19/2019,19,15,0,9,4,0,0,0,0,4,0,0,0,0,12,10,24.92,0,0,0,0,0,0,0
2/20/2019,20,13,0,8,3,0,0,0,0,0,0,0,0,0,11,0,21.67,0,0,8.67,0,0,0,0
2/21/2019,21,18,0,8,5,0,0,0,0,0,0,0,10,0,10,0,27.08,0,0,0,0,0,0,0
2/22/2019,19,15,0,11,5,0,0,0,0,3,0,0,0,0,11,11,31.42,0,0,0,0,0,0,0
2/23/2019,27,16,11,13,4,0,0,0,0,3,0,0,0,0,22,0,33.58,0,0,0,0,0,0,0
2/24/2019,24,17,6,11,7,0,0,0,0,0,0,0,0,0,22,0,32.5,0,0,0,0,10.64,0,0
2/25/2019,21,13,0,11,4,0,0,0,0,3,0,0,0,0,18,0,23.83,0,0,0,0,0,0,0
2/26/2019,16,11,0,10,3,0,0,0,0,3,0,0,0,0,13,0,23.83,0,0,0,0,0,0,0
2/27/2019,20,12,0,7,4,0,0,0,0,3,0,0,0,0,18,0,21.67,0,0,0,0,0,0,0
2/28/2019,21,14,0,8,5,0,0,0,0,3,0,0,0,0,13,0,23.83,0,0,0,0,0,0,0
3/1/2019,26,12,3,9,4,0,0,0,0,0,0,0,0,0,14,0,28.17,0,0,0,0,0,0,0
3/2/2019,23,22,12,12,7,0,0,0,0,0,0,0,0,0,20,0,36.83,0,0,0,0,0,0,0
3/3/2019,27,20,8,9,7,0,0,0,0,0,0,0,0,0,23,0,43.33,0,0,0,0,0,0,0
3/4/2019,23,14,0,11,3,0,0,0,0,5,0,0,0,0,12,0,17.33,9.75,0,0,0,0,0,0
3/5/2019,24,13,0,9,4,0,0,0,0,0,0,0,0,0,22,0,28.17,0,0,0,0,0,0,0
3/6/2019,23,16,0,10,4,0,0,0,0,0,0,0,0,0,12,0,30.33,0,0,0,0,0,0,0
3/7/2019,30,17,9,14,6,0,0,0,0,3,0,0,0,0,22,0,29.25,0,0,0,0,0,0,0
3/8/2019,24,18,0,10,5,0,0,0,0,0,0,0,0,0,17,0,29.25,0,0,0,0,0,0,0
3/9/2019,26,13,9,12,9,0,0,0,0,0,0,0,0,11,23,0,33.58,0,0,0,0,0,0,0
3/10/2019,25,15,6,10,4,0,0,0,0,0,0,0,10,0,23,10,35.75,9.75,0,0,0,0,0,0
3/11/2019,21,14,0,7,3,0,0,0,0,3,0,0,0,0,17,0,23.83,0,0,0,0,0,0,0
3/12/2019,20,9,0,5,5,0,0,0,0,3,0,0,0,0,13,0,28.17,0,0,0,0,0,0,0
3/13/2019,20,11,0,9,4,0,0,0,0,2,0,0,0,0,10,0,27.08,0,0,0,0,0,0,0
