date,Kota Tua,Monas,Masjid Istiqlal,istiqlal,Monas Jakarta,Gereja Katedral Jakarta,Kepulauan Seribu,Pulau Pramuka,Wisata religi Jakarta,Museum Bayt Al-Quran TMII,taman mini,TMII,Museum Satria Mandala,Taman Mini Indonesia Indah,PIK,Pantai Indah Kapuk,Wisata kawasan wisata kota lama Jakarta,Kuliner Jakarta,spot foto Bundaran HI,Destinasi unggulan Jakarta,Festival Pulau Jakarta,PRJ,Ragunan,Tiket Dufan,Tiket Ancol,dufan,ancol,Pulau Pari,Wisata Urban Jakarta,GBK,Wisata Jakarta,mall Jakarta,Blok M,Halim,Kereta Jakarta,tiket pesawat ke Halim,Bus Jakarta,Penginapan Jakarta,Hotel Jakarta
1/1/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.08,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2010,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.73
1/3/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.22,0,0,0,0,0,0,0,0,0,0,0,110.81
1/4/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.27,0,132.43
1/5/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.51,0,0,0,76.71,0,0,0,0,0,0,0,170.27
1/6/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.89
1/7/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.59
1/8/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.45,0,0,0,0,0,0,0,0,0,0,0,186.49
1/9/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.11
1/10/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.14
1/11/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.16
1/12/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.63,0,0,0,0,0,0,0,0,0,0,0,181.08
1/13/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,189.19
1/14/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.43,78.43,0,0,0,0,0,0,0,0,0,0,0,156.76
1/15/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.47,0,0,0,0,0,0,0,0,0,0,0,172.97
1/16/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/17/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.96,0,0,0,0,0,0,0,0,0,0,0,0
1/18/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.08,0,0,0,0,0,0,0,0,0,0,0,216.22
