Pintu Masuk Kedatangan Wisnas,,,,,,,,,,,,,
,Jumlah Perjalanan Wisatawan Nasional (Perjalanan),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
I. PINTU UTAMA,980688,753648,579696,925795,583897,723366,867869,-,-,-,-,-,-
A. Pintu Udara,792715,627400,461446,755792,454240,579871,693249,-,-,-,-,-,-
Ngurah Rai,39083,24004,20987,53117,22961,24135,25499,-,-,-,-,-,-
Soekarno Hatta,520798,410738,298871,501934,304719,343266,428872,-,-,-,-,-,-
Juanda,65182,51982,42700,56921,33237,53194,61242,-,-,-,-,-,-
Kualanamu,85559,70256,52366,73187,55475,60937,74312,-,-,-,-,-,-
Husein Sastranegara,7,17,0,12,12,10,14,-,-,-,-,-,-
Adi Sucipto/YIA,6877,5269,2702,7360,3523,3509,5379,-,-,-,-,-,-
Bandara Int'l Lombok,1916,1928,2459,2575,771,5194,1740,-,-,-,-,-,-
Sam Ratulangi,2851,1608,1212,1565,1311,1126,540,-,-,-,-,-,-
Minangkabau,15175,10834,7474,12681,7565,10107,12882,-,-,-,-,-,-
Sultan Syarif Kasim II,19470,17572,10163,16915,12327,11737,19501,-,-,-,-,-,-
Sultan Iskandar Muda,8911,7550,5029,8870,4624,6259,10618,-,-,-,-,-,-
Ahmad Yani,0,0,5,0,0,0,12,-,-,-,-,-,-
Supadio,0,4,0,0,0,0,9,-,-,-,-,-,-
Hasanuddin,13255,13706,9831,11221,3205,13429,13087,-,-,-,-,-,-
Sultan Badaruddin II,3165,2783,1865,350,93,4613,5980,-,-,-,-,-,-
Lainnya,10466,9149,5782,9084,4417,42355,33562,-,-,-,-,-,-
B. Pintu Laut,140078,97594,89980,128651,97118,105445,129047,-,-,-,-,-,-
Batam,96544,63901,52997,95233,61960,70072,85530,-,-,-,-,-,-
Tanjung Uban,383,285,315,405,272,450,439,-,-,-,-,-,-
Tanjung Pinang,5624,4092,3880,5825,3979,4070,5660,-,-,-,-,-,-
Tanjung Balai Karimun,11732,9947,12946,6219,11063,10535,12381,-,-,-,-,-,-
Tanjung Benoa,17,13,42,18,0,0,3,-,-,-,-,-,-
Lainnya,25778,19356,19800,20951,19844,20318,25034,-,-,-,-,-,-
C. Pintu Darat,47895,28654,28270,41352,32539,38050,45573,-,-,-,-,-,-
Jayapura,433,321,240,321,320,305,418,-,-,-,-,-,-
Atambua,6372,4496,5602,5958,6037,6341,8330,-,-,-,-,-,-
Entikong,25639,14062,12375,23449,15986,20243,23413,-,-,-,-,-,-
Aruk,12047,7366,7487,8670,6811,8343,10607,-,-,-,-,-,-
Nanga Badau,2812,1693,1886,2222,2512,1969,1936,-,-,-,-,-,-
Lainnya,592,716,680,732,873,849,869,-,-,-,-,-,-
II. PINTU NON-IMIGRASI,9419,5419,2382,804,1903,4192,2058,-,-,-,-,-,-
Perbatasan Laut,104,106,87,102,112,103,76,-,-,-,-,-,-
Perbatasan Darat,9315,5313,2295,702,1791,4089,1982,-,-,-,-,-,-
Jumlah,990107,759067,582078,926599,585800,727558,869927,-,-,-,-,-,-
